TransactionAmount,TransactionDate,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Location_encoded,Channel_encoded,TransactionType_encoded,CustomerOccupation_encoded,TimeBetweenTransaction,TransactionHour,LoginAttempts_Binned,TransactionAmount_Binned,KMeans_Cluster,Anomaly,DBSCAN_Cluster,Cluster,Cluster_PCA,dbscan_outlier,DistanceToCentroid,PotentialFraud,Target
59.32,2023-02-28 16:36:58,71,38,1,5750.89,2024-11-04 08:09:24,20,1,1,2,-53105546.0,16,Normal,$50–$200,0,1,-1,2,0,-1,1.3087287281905993,False,2
85.77,2023-08-11 18:31:31,38,93,1,9146.19,2024-11-04 08:08:13,19,1,1,0,-38929002.0,18,Normal,$50–$200,0,1,-1,2,0,-1,1.7154494314641227,False,2
52.2,2023-06-06 18:54:15,39,120,1,8974.93,2024-11-04 08:07:01,1,2,1,1,-44629966.0,18,Normal,$50–$200,2,1,-1,1,1,-1,5.296329498766028,False,1
345.84,2023-05-02 18:25:46,22,142,3,1402.5,2024-11-04 08:07:04,13,2,1,3,-47655678.0,18,Waspada,$200–$500,2,1,-1,2,1,-1,6.556875269250635,False,2
145.54,2023-03-02 16:43:56,21,96,1,1930.96,2024-11-04 08:07:09,33,2,1,3,-52932193.0,16,Normal,$50–$200,1,1,-1,0,2,-1,1.790149987943167,False,0
7.49,2023-10-20 17:53:13,65,276,1,3634.67,2024-11-04 08:09:44,15,2,0,2,-32883391.0,17,Normal,< $50,0,1,1,2,0,1,4.513461492338036,False,2
246.93,2023-04-17 16:37:01,23,158,5,673.35,2024-11-04 08:11:38,24,0,1,3,-48958477.0,16,Waspada,$200–$500,0,1,36,2,0,36,4.743659496652662,False,2
40.32,2023-03-29 16:42:38,37,95,1,2686.52,2024-11-04 08:11:59,25,1,1,1,-50599761.0,16,Normal,< $50,0,1,-1,2,0,-1,5.749188425123333,False,2
127.45,2023-01-24 16:18:32,44,197,1,1772.06,2024-11-04 08:11:22,19,2,1,0,-56130770.0,16,Normal,$50–$200,0,1,-1,2,0,-1,1.328242281253014,False,2
56.17,2023-09-20 16:55:42,27,283,1,1351.69,2024-11-04 08:08:30,11,1,1,3,-35478768.0,16,Normal,$50–$200,2,1,2,1,1,2,5.117577955959228,False,1
28.31,2023-07-17 17:49:22,59,20,1,8334.47,2024-11-04 08:09:17,24,2,0,0,-41091595.0,17,Normal,< $50,0,1,-1,2,0,-1,4.744649846155818,False,2
59.12,2023-02-06 16:24:24,29,257,1,9823.64,2024-11-04 08:06:58,3,0,1,0,-55006954.0,16,Normal,$50–$200,2,1,-1,1,1,-1,3.3744883029637065,False,1
396.45,2023-09-25 16:26:00,49,168,3,9690.15,2024-11-04 08:11:13,27,0,1,1,-35048713.0,16,Waspada,$200–$500,0,1,-1,0,0,-1,7.449852215467763,False,0
877.81,2023-03-13 17:23:24,22,150,1,399.0,2024-11-04 08:07:50,20,2,1,3,-51979466.0,17,Normal,$500–$1K,0,1,-1,2,0,-1,2.142132681833917,False,2
255.26,2023-10-27 16:42:49,45,50,1,14815.87,2024-11-04 08:10:51,37,1,0,0,-32282882.0,16,Normal,$200–$500,1,1,-1,0,2,-1,3.1830885987379665,False,0
124.76,2023-10-16 16:32:56,49,45,1,5764.72,2024-11-04 08:06:23,39,1,1,1,-33233607.0,16,Normal,$50–$200,1,1,3,0,2,3,4.733452590658084,False,0
78.13,2023-11-21 16:58:44,26,145,1,900.61,2024-11-04 08:12:18,25,1,1,3,-30122014.0,16,Normal,$50–$200,0,1,4,2,0,4,5.789203877862001,False,2
649.28,2023-03-02 17:53:32,75,137,1,4875.86,2024-11-04 08:11:15,38,0,1,2,-52928263.0,17,Normal,$500–$1K,1,1,-1,0,2,-1,3.8560145941242636,False,0
795.31,2023-10-12 17:07:40,66,90,2,7914.88,2024-11-04 08:11:17,23,0,1,0,-33577417.0,17,Normal,$500–$1K,0,1,-1,2,0,-1,4.018196057721577,False,2
335.63,2023-01-24 17:17:20,55,216,1,1019.39,2024-11-04 08:07:32,28,2,1,2,-56127012.0,17,Normal,$200–$500,0,1,-1,0,0,-1,6.477255523317731,False,0
328.47,2023-07-31 18:39:50,63,119,1,4323.66,2024-11-04 08:07:31,35,0,1,2,-39878861.0,18,Normal,$200–$500,1,1,-1,0,2,-1,1.5398819952726348,False,0
34.02,2023-01-09 16:13:21,38,19,1,14214.48,2024-11-04 08:11:45,30,2,1,0,-57427104.0,16,Normal,< $50,1,1,-1,0,2,-1,4.817080607795194,False,0
241.42,2023-04-20 18:57:43,57,116,1,13357.02,2024-11-04 08:09:03,5,2,0,0,-48690680.0,18,Normal,$200–$500,2,1,-1,1,1,-1,2.1920679117870296,False,1
55.32,2023-04-12 16:03:37,19,117,1,241.79,2024-11-04 08:08:03,40,0,1,3,-49392266.0,16,Normal,$50–$200,1,1,22,0,2,22,5.784700181835937,False,0
304.31,2023-07-26 16:52:28,27,33,1,868.61,2024-11-04 08:09:53,21,1,1,3,-40317445.0,16,Normal,$200–$500,0,1,-1,2,0,-1,1.8720689983967767,False,2
435.27,2023-10-04 17:49:29,74,90,1,4673.28,2024-11-04 08:11:12,6,1,1,2,-34266103.0,17,Normal,$200–$500,2,1,-1,1,1,-1,0.7197738138264705,False,1
164.49,2023-12-13 16:01:38,26,75,1,1509.27,2024-11-04 08:10:33,3,1,1,3,-28224535.0,16,Normal,$50–$200,2,1,-1,1,1,-1,3.298948188540405,False,1
510.24,2023-10-09 16:29:40,19,105,1,781.7,2024-11-04 08:11:35,28,2,1,3,-33838915.0,16,Normal,$500–$1K,0,1,-1,0,0,-1,6.487965870835305,False,0
626.9,2023-11-27 16:45:57,26,138,1,265.51,2024-11-04 08:07:24,10,2,1,3,-29604087.0,16,Normal,$500–$1K,2,1,-1,1,1,-1,4.288141879233177,False,1
22.01,2023-03-27 16:45:18,41,175,1,1335.09,2024-11-04 08:06:31,34,2,0,1,-50772073.0,16,Normal,< $50,1,1,-1,0,2,-1,1.378686788876712,False,0
425.34,2023-02-13 16:59:39,69,121,1,3907.54,2024-11-04 08:07:07,18,2,0,2,-54400048.0,16,Normal,$200–$500,0,1,-1,2,0,-1,1.7326517611580443,False,2
424.56,2023-02-21 17:45:55,51,264,1,5183.85,2024-11-04 08:09:02,29,2,1,1,-53706187.0,17,Normal,$200–$500,1,1,-1,0,2,-1,5.445250473042509,False,0
85.43,2023-06-07 16:45:34,67,145,1,14904.9,2024-11-04 08:06:45,41,1,1,0,-44551271.0,16,Normal,$50–$200,1,1,-1,0,2,-1,6.876230091253291,False,0
169.5,2023-09-07 16:51:27,28,142,1,918.88,2024-11-04 08:08:58,36,1,1,3,-36602251.0,16,Normal,$50–$200,1,1,6,0,2,6,1.9420816523191775,False,0
104.63,2023-03-29 17:47:16,62,90,1,4477.78,2024-11-04 08:10:42,29,0,1,2,-50595806.0,17,Normal,$50–$200,1,1,-1,0,2,-1,5.444694410908996,False,0
316.95,2023-08-04 17:53:40,25,83,1,1324.03,2024-11-04 08:09:15,23,1,1,3,-39536135.0,17,Normal,$200–$500,0,1,-1,2,0,-1,3.706490964373526,False,2
60.54,2023-12-14 17:52:37,57,52,1,3534.93,2024-11-04 08:09:57,8,1,0,2,-28131440.0,17,Normal,$50–$200,2,1,-1,1,1,-1,2.301100951910711,False,1
292.56,2023-03-03 17:37:41,68,61,1,4638.37,2024-11-04 08:07:49,9,1,0,2,-52842608.0,17,Normal,$200–$500,2,1,-1,1,1,-1,3.0625346226260968,False,1
386.52,2023-06-09 16:18:15,48,28,1,5630.61,2024-11-04 08:07:09,16,1,1,1,-44380134.0,16,Normal,$200–$500,0,1,-1,2,0,-1,3.4390556432921615,False,2
112.07,2023-10-02 16:35:22,23,51,1,930.3,2024-11-04 08:11:37,18,1,1,3,-34443375.0,16,Normal,$50–$200,0,1,5,2,0,5,1.7946717438311093,False,2
568.52,2023-10-06 18:44:37,46,152,1,5499.91,2024-11-04 08:06:25,16,0,1,1,-34089708.0,18,Normal,$500–$1K,0,1,-1,2,0,-1,3.7757060450754607,False,2
263.99,2023-05-16 16:07:30,79,227,2,4175.02,2024-11-04 08:11:03,9,1,1,2,-46454613.0,16,Normal,$200–$500,2,1,-1,1,1,-1,3.0604260639797856,False,1
349.64,2023-11-07 16:48:23,48,226,1,6651.62,2024-11-04 08:08:09,19,2,1,1,-31331986.0,16,Normal,$200–$500,0,1,-1,2,0,-1,1.0355196512888518,False,2
601.4,2023-05-30 17:43:25,56,104,1,8458.29,2024-11-04 08:08:01,30,1,0,1,-45239076.0,17,Normal,$500–$1K,1,1,-1,0,2,-1,4.514499636583654,False,0
5.77,2023-11-02 16:01:40,50,124,1,13988.12,2024-11-04 08:11:32,5,2,1,0,-31766992.0,16,Normal,< $50,2,1,-1,1,1,-1,2.175263151843296,False,1
201.33,2023-03-29 17:00:31,42,186,1,2585.07,2024-11-04 08:11:41,26,1,0,1,-50598670.0,17,Normal,$200–$500,0,1,46,2,0,46,6.679627744290794,False,2
298.42,2023-04-25 16:11:24,56,225,1,3014.75,2024-11-04 08:10:12,16,1,1,2,-48268728.0,16,Normal,$200–$500,0,1,-1,2,0,-1,3.459078426196634,False,2
521.06,2023-04-18 18:40:47,25,128,1,1951.42,2024-11-04 08:12:10,0,1,1,3,-48864683.0,18,Normal,$500–$1K,2,1,-1,1,1,-1,6.250543027759137,False,1
117.28,2023-02-09 16:34:53,60,16,1,3665.77,2024-11-04 08:07:11,2,2,0,1,-54747138.0,16,Normal,$50–$200,2,1,-1,1,1,-1,4.206276872842767,False,1
189.12,2023-11-13 16:42:28,32,103,1,977.01,2024-11-04 08:08:42,16,1,0,1,-30813974.0,16,Normal,$50–$200,0,1,-1,2,0,-1,3.5727869434383543,False,2
133.55,2023-07-18 16:12:00,44,220,1,3846.28,2024-11-04 08:10:18,1,0,1,1,-41011098.0,16,Normal,$50–$200,2,1,-1,1,1,-1,5.1054944003288485,False,1
143.21,2023-01-13 17:00:16,35,135,1,6374.82,2024-11-04 08:09:26,9,2,1,1,-57078550.0,17,Normal,$50–$200,2,1,-1,1,1,-1,3.1703630204413775,False,1
24.77,2023-07-04 18:20:33,62,55,1,5866.01,2024-11-04 08:12:15,4,0,1,2,-42213102.0,18,Normal,< $50,2,1,-1,1,1,-1,2.566421135788496,False,1
233.92,2023-10-20 16:54:28,26,280,1,6537.62,2024-11-04 08:08:45,17,2,0,3,-32886857.0,16,Normal,$200–$500,0,1,-1,2,0,-1,2.532913530041761,False,2
1212.51,2023-10-04 16:36:29,20,24,1,605.95,2024-11-04 08:06:51,16,1,1,3,-34270222.0,16,Normal,> $1K,0,1,-1,2,0,-1,4.490232568136476,False,2
232.12,2023-12-28 17:31:03,37,51,1,6689.87,2024-11-04 08:09:17,29,0,1,1,-26923094.0,17,Normal,$200–$500,1,1,29,0,2,29,5.475701808716391,False,0
162.63,2023-06-12 17:53:52,22,113,1,634.17,2024-11-04 08:08:22,18,2,1,3,-44115270.0,17,Normal,$50–$200,0,1,-1,2,0,-1,1.6439898467313663,False,2
91.53,2023-03-13 16:32:12,44,69,1,14676.05,2024-11-04 08:11:36,25,1,1,0,-51982764.0,16,Normal,$50–$200,0,1,-1,2,0,-1,5.93487700406064,False,2
120.29,2023-12-18 18:46:27,19,77,1,1362.39,2024-11-04 08:06:50,24,1,1,3,-27782423.0,18,Normal,$50–$200,0,1,-1,2,0,-1,4.982580537830031,False,2
174.25,2023-07-17 18:54:31,50,67,1,10528.34,2024-11-04 08:10:29,39,2,1,0,-41087758.0,18,Normal,$50–$200,1,1,-1,0,2,-1,4.928033756103084,False,0
183.71,2023-06-19 18:22:10,38,102,1,552.52,2024-11-04 08:09:51,10,0,1,1,-43508861.0,18,Normal,$50–$200,2,1,-1,1,1,-1,4.265117905439202,False,1
345.39,2023-10-23 17:13:57,58,80,1,6451.96,2024-11-04 08:08:16,31,2,0,1,-32626459.0,17,Normal,$200–$500,1,1,-1,0,2,-1,3.4515928459174776,False,0
922.55,2023-01-23 16:32:48,63,87,1,4715.84,2024-11-04 08:11:07,11,0,1,2,-56216299.0,16,Normal,$500–$1K,2,1,-1,1,1,-1,5.426525579644207,False,1
259.91,2023-11-06 16:34:10,49,170,1,7176.86,2024-11-04 08:09:38,10,2,1,0,-31419328.0,16,Normal,$200–$500,2,1,55,1,1,55,4.091235088204722,False,1
154.71,2023-07-03 16:40:24,34,157,1,1523.72,2024-11-04 08:09:42,36,2,1,0,-42305358.0,16,Normal,$50–$200,1,1,6,0,2,6,1.8898582756903515,False,0
1340.19,2023-09-29 17:22:10,54,30,1,8654.28,2024-11-04 08:06:53,2,2,0,1,-34699483.0,17,Normal,> $1K,2,-1,-1,1,1,-1,5.169957362132875,False,1
24.56,2023-10-20 17:27:35,64,69,1,9869.93,2024-11-04 08:12:05,23,1,1,0,-32885070.0,17,Normal,< $50,0,1,-1,2,0,-1,3.8645363946262097,False,2
568.07,2023-08-28 17:03:53,48,115,1,10556.81,2024-11-04 08:07:32,42,0,1,0,-37465419.0,17,Normal,$500–$1K,1,1,-1,0,2,-1,7.736205709944835,True,0
9.61,2023-06-22 18:37:29,58,179,1,12883.91,2024-11-04 08:09:10,36,2,0,0,-43248701.0,18,Normal,< $50,1,1,-1,0,2,-1,2.636377309136215,False,0
392.96,2023-11-20 16:28:09,24,100,1,791.65,2024-11-04 08:08:38,18,2,1,3,-30210029.0,16,Normal,$200–$500,0,1,5,2,0,5,1.8393146792729642,False,2
716.93,2023-09-14 16:49:33,60,34,1,4064.02,2024-11-04 08:08:12,25,2,0,2,-35997519.0,16,Normal,$500–$1K,0,1,-1,2,0,-1,5.821828533329784,False,2
223.85,2023-10-02 16:36:10,53,55,4,2929.91,2024-11-04 08:08:01,18,0,1,1,-34443111.0,16,Waspada,$200–$500,0,1,5,2,0,5,1.6261313787256997,False,2
230.66,2023-03-27 18:16:04,21,135,1,618.05,2024-11-04 08:10:44,15,1,1,3,-50766880.0,18,Normal,$200–$500,0,1,-1,2,0,-1,4.674759140633311,False,2
442.12,2023-12-21 16:37:03,19,260,1,1375.8,2024-11-04 08:08:21,20,2,1,3,-27531078.0,16,Normal,$200–$500,0,1,-1,2,0,-1,1.4751654641964396,False,2
644.17,2023-03-02 16:05:09,29,72,1,1143.52,2024-11-04 08:08:04,35,0,1,1,-52934575.0,16,Normal,$500–$1K,1,1,-1,0,2,-1,1.6415336013463997,False,0
508.68,2023-06-26 16:16:50,51,127,1,7708.41,2024-11-04 08:09:32,23,1,0,1,-42911562.0,16,Normal,$500–$1K,0,1,-1,2,0,-1,3.7636028101995977,False,2
858.63,2023-04-18 17:27:23,27,185,1,1872.96,2024-11-04 08:10:47,37,1,0,3,-48869004.0,17,Normal,$500–$1K,1,1,-1,0,2,-1,3.2113153897698243,False,0
25.36,2023-07-17 17:08:24,57,78,1,201.04,2024-11-04 08:11:05,21,0,1,1,-41094161.0,17,Normal,< $50,0,1,-1,2,0,-1,2.01890543886606,False,2
147.62,2023-09-01 17:26:02,71,133,1,2115.8,2024-11-04 08:07:22,5,1,1,2,-37118480.0,17,Normal,$50–$200,2,1,7,1,1,7,1.3079945468047482,False,1
115.02,2023-09-11 16:19:04,37,175,1,7643.66,2024-11-04 08:08:38,35,1,1,0,-36258574.0,16,Normal,$50–$200,1,1,8,0,2,8,1.1760499383234022,False,0
383.37,2023-01-24 17:23:56,30,24,1,8901.93,2024-11-04 08:11:07,13,1,1,1,-56126831.0,17,Normal,$200–$500,2,1,-1,2,1,-1,6.474657224491825,False,2
98.54,2023-08-11 16:18:46,20,167,1,9383.43,2024-11-04 08:10:02,12,2,0,3,-38937076.0,16,Normal,$50–$200,2,1,-1,1,1,-1,6.0760869805310564,False,1
83.24,2023-10-16 18:35:11,55,164,1,1181.31,2024-11-04 08:10:52,13,1,0,0,-33226541.0,18,Normal,$50–$200,2,1,-1,2,1,-1,6.6040239198739,False,2
196.16,2023-02-24 16:29:23,27,146,1,9418.86,2024-11-04 08:08:32,41,1,1,1,-53451549.0,16,Normal,$50–$200,1,1,-1,0,2,-1,6.739103317651066,False,0
129.94,2023-01-02 16:36:02,32,235,1,7954.92,2024-11-04 08:06:35,19,0,1,1,-58030233.0,16,Normal,$50–$200,0,1,-1,2,0,-1,1.3827837193340327,False,2
306.9,2023-11-30 16:31:03,46,51,1,9418.08,2024-11-04 08:10:48,7,2,1,1,-29345985.0,16,Normal,$200–$500,2,1,-1,1,1,-1,1.574125188737087,False,1
114.98,2023-11-01 16:52:01,59,80,1,6144.68,2024-11-04 08:09:24,39,2,1,2,-31850243.0,16,Normal,$50–$200,1,1,3,0,2,3,4.749299926343796,False,0
756.59,2023-03-06 16:47:02,27,17,1,420.65,2024-11-04 08:11:40,34,1,1,3,-52586678.0,16,Normal,$500–$1K,1,1,-1,0,2,-1,1.8377729932036175,False,0
503.76,2023-11-27 18:32:49,22,35,1,447.82,2024-11-04 08:09:22,20,2,1,3,-29597793.0,18,Normal,$500–$1K,0,1,-1,2,0,-1,1.9827675208831603,False,2
143.03,2023-07-31 16:37:46,63,147,1,7981.45,2024-11-04 08:10:42,35,0,1,2,-39886376.0,16,Normal,$50–$200,1,1,8,0,2,8,1.109495825575027,False,0
1045.22,2023-11-22 16:13:39,53,73,1,1829.9,2024-11-04 08:07:35,8,0,1,2,-30038036.0,16,Normal,> $1K,2,1,-1,1,1,-1,3.196150503328748,False,1
245.54,2023-03-21 16:29:31,25,180,1,985.06,2024-11-04 08:10:26,27,0,1,3,-51291655.0,16,Normal,$200–$500,0,1,-1,0,0,-1,7.450231668102428,False,0
254.37,2023-04-20 18:26:50,51,174,1,8849.26,2024-11-04 08:06:56,9,2,0,1,-48692406.0,18,Normal,$200–$500,2,1,-1,1,1,-1,3.3354909953554697,False,1
213.76,2023-03-01 17:52:14,78,282,1,3528.72,2024-11-04 08:09:36,9,0,0,2,-53014642.0,17,Normal,$200–$500,2,1,-1,1,1,-1,3.085242160030881,False,1
327.86,2023-02-10 16:52:48,40,104,1,480.16,2024-11-04 08:06:30,14,2,1,1,-54659622.0,16,Normal,$200–$500,2,1,25,2,0,25,5.508532275759364,False,2
2.5,2023-07-21 16:43:11,47,107,1,12145.27,2024-11-04 08:09:53,36,2,1,0,-40750002.0,16,Normal,< $50,1,1,-1,0,2,-1,2.2674447118427996,False,0
300.08,2023-10-09 17:02:43,68,47,1,13546.75,2024-11-04 08:12:18,2,2,0,0,-33836975.0,17,Normal,$200–$500,2,1,-1,1,1,-1,4.298277988628018,False,1
56.98,2024-01-01 16:34:10,43,122,2,5688.37,2024-11-04 08:07:42,28,0,0,1,-26580812.0,16,Normal,$50–$200,0,1,9,0,0,9,6.513955158766107,False,0
407.65,2023-07-07 16:11:38,26,62,1,8346.64,2024-11-04 08:06:30,4,2,1,1,-41961292.0,16,Normal,$200–$500,2,1,-1,1,1,-1,2.226535388286556,False,1
115.83,2023-05-22 17:09:52,39,167,1,6481.04,2024-11-04 08:10:02,14,1,1,1,-45932410.0,17,Normal,$50–$200,2,1,-1,2,0,-1,5.4188742732667015,False,2
53.57,2023-08-16 16:17:12,69,121,1,1651.33,2024-11-04 08:08:43,15,0,1,2,-38505091.0,16,Normal,$50–$200,0,1,-1,2,0,-1,4.508847408225543,False,2
63.34,2023-11-17 16:02:02,46,165,1,11174.94,2024-11-04 08:10:13,11,2,0,0,-30470891.0,16,Normal,$50–$200,2,1,-1,1,1,-1,5.203763189512133,False,1
317.87,2023-05-22 17:29:35,27,91,1,145.5,2024-11-04 08:11:32,11,2,1,3,-45931317.0,17,Normal,$200–$500,2,1,54,1,1,54,5.050379523693258,False,1
331.65,2023-08-25 17:26:07,41,61,1,4172.57,2024-11-04 08:11:00,32,2,1,1,-37723493.0,17,Normal,$200–$500,1,1,-1,0,2,-1,2.423543179473388,False,0
5.04,2023-11-27 16:38:34,56,41,1,5558.36,2024-11-04 08:10:48,42,0,1,2,-29604734.0,16,Normal,< $50,1,1,-1,0,2,-1,7.745545252292724,True,0
214.54,2023-08-04 17:46:44,70,247,1,11151.53,2024-11-04 08:11:56,11,2,0,0,-39536712.0,17,Normal,$200–$500,2,1,-1,1,1,-1,5.0805639170152155,False,1
598.81,2023-09-04 16:48:35,57,158,1,1415.52,2024-11-04 08:10:13,30,1,1,0,-36861698.0,16,Normal,$500–$1K,1,1,-1,0,2,-1,4.552365099282931,False,0
841.28,2023-08-09 17:34:26,26,80,1,1103.64,2024-11-04 08:09:58,40,2,1,3,-39105332.0,17,Normal,$500–$1K,1,1,-1,0,2,-1,5.909289519608768,False,0
38.15,2023-09-07 16:07:40,26,108,1,303.68,2024-11-04 08:07:42,23,2,1,3,-36604802.0,16,Normal,< $50,0,1,-1,2,0,-1,3.8534352935438214,False,2
1036.66,2023-07-11 16:39:53,58,144,1,5541.57,2024-11-04 08:09:24,35,1,1,0,-41614171.0,16,Normal,> $1K,1,1,-1,0,2,-1,2.3724186212129377,False,0
124.72,2023-07-03 17:14:07,33,105,1,6309.8,2024-11-04 08:07:25,28,1,1,1,-42303198.0,17,Normal,$50–$200,0,1,-1,0,0,-1,6.407596693991183,False,0
302.45,2023-09-25 17:13:36,78,40,1,5133.61,2024-11-04 08:11:55,35,1,0,2,-35045899.0,17,Normal,$200–$500,1,1,-1,0,2,-1,0.85899998368559,False,0
208.04,2023-11-20 17:10:02,47,273,1,9344.98,2024-11-04 08:08:45,21,2,1,1,-30207523.0,17,Normal,$200–$500,0,1,-1,2,0,-1,1.982373564511322,False,2
5.77,2023-11-17 17:27:07,23,254,1,1117.97,2024-11-04 08:10:53,20,1,0,3,-30465826.0,17,Normal,< $50,0,1,-1,2,0,-1,1.4969409605429067,False,2
381.33,2023-08-21 16:46:05,56,75,1,11835.35,2024-11-04 08:09:32,0,0,1,0,-38071407.0,16,Normal,$200–$500,2,1,-1,1,1,-1,6.175335606319209,False,1
16.16,2023-10-16 16:59:36,50,124,1,14401.17,2024-11-04 08:11:59,25,0,1,0,-33232343.0,16,Normal,< $50,0,1,-1,2,0,-1,5.947421179570714,False,2
486.08,2023-06-20 17:21:50,18,68,1,1748.69,2024-11-04 08:07:03,28,2,1,3,-43425913.0,17,Normal,$200–$500,0,1,-1,0,0,-1,6.429728221298217,False,0
336.39,2023-01-16 16:53:38,21,18,1,1000.46,2024-11-04 08:09:57,35,1,1,3,-56819779.0,16,Normal,$200–$500,1,1,-1,0,2,-1,1.4398865308191702,False,0
997.43,2023-11-22 16:07:19,69,118,1,6810.05,2024-11-04 08:08:25,39,2,1,0,-30038466.0,16,Normal,$500–$1K,1,1,-1,0,2,-1,5.1754833865646885,False,0
234.57,2023-09-01 16:09:08,23,120,1,263.98,2024-11-04 08:08:47,6,2,1,3,-37123179.0,16,Normal,$200–$500,2,1,12,1,1,12,1.096554330305769,False,1
6.0,2023-10-23 18:38:15,30,246,1,5442.76,2024-11-04 08:09:43,6,2,1,0,-32621488.0,18,Normal,< $50,2,1,-1,1,1,-1,1.6964602851062058,False,1
1049.92,2023-10-23 16:50:33,80,21,1,2037.85,2024-11-04 08:10:34,11,0,1,2,-32628001.0,16,Normal,> $1K,2,1,-1,1,1,-1,5.5529290816822,False,1
227.14,2023-07-03 17:42:08,18,294,1,341.94,2024-11-04 08:11:34,5,0,1,3,-42301766.0,17,Normal,$200–$500,2,1,7,1,1,7,1.3519315387520179,False,1
233.74,2023-10-24 16:41:00,66,17,1,1066.59,2024-11-04 08:11:17,28,2,0,2,-32542217.0,16,Normal,$200–$500,0,1,9,0,0,9,6.46359073138737,False,0
