TransactionAmount,tTimeBetweenTransaction,TransactionDuration,AccountBalance,TransactionType_encoded,CustomerOccupation_encoded,TransactionType,CustomerOccupation,Cluster
4638.37,292.56,17.0,-52842608.0,0,2,Doctor,Retired,
5630.61,386.52,16.0,-44380134.0,1,1,Engineer,Engineer,
930.3000000000002,112.07,16.0,-34443375.0,1,3,Engineer,Student,
5499.91,568.52,18.0,-34089708.0,1,1,Engineer,Engineer,
4175.02,263.99,16.0,-46454613.0,1,2,Engineer,Retired,
6651.62,349.64,16.0,-31331986.0,1,1,Engineer,Engineer,
8458.29,601.4,17.0,-45239076.0,0,1,Doctor,Engineer,
13988.12,5.77000000000001,16.0,-31766992.0,1,0,Engineer,Doctor,
2585.07,201.33,17.0,-50598670.0,0,1,Doctor,Engineer,
3014.75,298.42,16.0,-48268728.0,1,2,Engineer,Retired,
1951.42,521.06,18.0,-48864683.0,1,3,Engineer,Student,
3665.77,117.28,16.0,-54747138.0,0,1,Doctor,Engineer,
977.0100000000002,189.12,16.0,-30813974.0,0,1,Doctor,Engineer,
3846.28,133.55,16.0,-41011098.0,1,1,Engineer,Engineer,
6374.82,143.21,17.0,-57078550.0,1,1,Engineer,Engineer,
5866.01,24.77000000000001,18.0,-42213102.0,1,2,Engineer,Retired,
6537.62,233.92,16.0,-32886857.0,0,3,Doctor,Student,
605.9499999999998,1212.51,16.0,-34270222.0,1,3,Engineer,Student,
6689.87,232.12,17.0,-26923094.0,1,1,Engineer,Engineer,
634.1700000000001,162.63,17.0,-44115270.0,1,3,Engineer,Student,
14676.05,91.53,16.0,-51982764.0,1,0,Engineer,Doctor,
1362.3899999999999,120.29,18.0,-27782423.0,1,3,Engineer,Student,
10528.34,174.25,18.0,-41087758.0,1,0,Engineer,Doctor,
552.5200000000004,183.71,18.0,-43508861.0,1,1,Engineer,Engineer,
6451.96,345.39,17.0,-32626459.0,0,1,Doctor,Engineer,
4715.84,922.55,16.0,-56216299.0,1,2,Engineer,Retired,
7176.86,259.91,16.0,-31419328.0,1,0,Engineer,Doctor,
1523.7200000000003,154.71,16.0,-42305358.0,1,0,Engineer,Doctor,
8654.28,1340.19,17.0,-34699483.0,0,1,Doctor,Engineer,
9869.93,24.560000000000002,17.0,-32885070.0,1,0,Engineer,Doctor,
10556.81,568.07,17.0,-37465419.0,1,0,Engineer,Doctor,
12883.91,9.610000000000014,18.0,-43248701.0,0,0,Doctor,Doctor,
791.6500000000001,392.9599999999999,16.0,-30210029.0,1,3,Engineer,Student,
4064.02,716.93,16.0,-35997519.0,0,2,Doctor,Retired,
2929.91,223.85,16.0,-34443111.0,1,1,Engineer,Engineer,
618.0500000000002,230.66,18.0,-50766880.0,1,3,Engineer,Student,
1375.8000000000002,442.12,16.0,-27531078.0,1,3,Engineer,Student,
1143.52,644.17,16.0,-52934575.0,1,1,Engineer,Engineer,
7708.41,508.68,16.0,-42911562.0,0,1,Doctor,Engineer,
1872.96,858.63,17.0,-48869004.0,0,3,Doctor,Student,
201.03999999999996,25.359999999999985,17.0,-41094161.0,1,1,Engineer,Engineer,
2115.8,147.62,17.0,-37118480.0,1,2,Engineer,Retired,
7643.66,115.02,16.0,-36258574.0,1,0,Engineer,Doctor,
8901.93,383.37,17.0,-56126831.0,1,1,Engineer,Engineer,
9383.43,98.54,16.0,-38937076.0,0,3,Doctor,Student,
1181.31,83.23999999999998,18.0,-33226541.0,0,0,Doctor,Doctor,
9418.86,196.16,16.0,-53451549.0,1,1,Engineer,Engineer,
7954.92,129.94,16.0,-58030233.0,1,1,Engineer,Engineer,
9418.08,306.9,16.0,-29345985.0,1,1,Engineer,Engineer,
6144.68,114.98,16.0,-31850243.0,1,2,Engineer,Retired,
420.64999999999964,756.59,16.0,-52586678.0,1,3,Engineer,Student,
447.8199999999997,503.76,18.0,-29597793.0,1,3,Engineer,Student,
7981.45,143.03,16.0,-39886376.0,1,2,Engineer,Retired,
1829.9,1045.22,16.0,-30038036.0,1,2,Engineer,Retired,
985.06,245.54,16.0,-51291655.0,1,3,Engineer,Student,
8849.26,254.37,18.0,-48692406.0,0,1,Doctor,Engineer,
3528.72,213.76,17.0,-53014642.0,0,2,Doctor,Retired,
480.15999999999985,327.86,16.0,-54659622.0,1,1,Engineer,Engineer,
12145.27,2.5,16.0,-40750002.0,1,0,Engineer,Doctor,
13546.75,300.08,17.0,-33836975.0,0,0,Doctor,Doctor,
5688.37,56.97999999999999,16.0,-26580812.0,0,1,Doctor,Engineer,
8346.64,407.65,16.0,-41961292.0,1,1,Engineer,Engineer,
6481.04,115.83,17.0,-45932410.0,1,1,Engineer,Engineer,
1651.33,53.56999999999999,16.0,-38505091.0,1,2,Engineer,Retired,
11174.940000000002,63.34,16.0,-30470891.0,0,0,Doctor,Doctor,
145.5,317.87,17.0,-45931317.0,1,3,Engineer,Student,
4172.57,331.65,17.0,-37723493.0,1,1,Engineer,Engineer,
5558.36,5.039999999999992,16.0,-29604734.0,1,2,Engineer,Retired,
11151.53,214.54,17.0,-39536712.0,0,0,Doctor,Doctor,
1415.52,598.81,16.0,-36861698.0,1,0,Engineer,Doctor,
1103.6400000000003,841.28,17.0,-39105332.0,1,3,Engineer,Student,
303.6800000000003,38.150000000000006,16.0,-36604802.0,1,3,Engineer,Student,
5541.57,1036.6599999999999,16.0,-41614171.0,1,0,Engineer,Doctor,
6309.8,124.72,17.0,-42303198.0,1,1,Engineer,Engineer,
5133.61,302.45,17.0,-35045899.0,0,2,Doctor,Retired,
9344.98,208.04,17.0,-30207523.0,1,1,Engineer,Engineer,
1117.9699999999998,5.77000000000001,17.0,-30465826.0,0,3,Doctor,Student,
11835.350000000002,381.33,16.0,-38071407.0,1,0,Engineer,Doctor,
14401.17,16.159999999999997,16.0,-33232343.0,1,0,Engineer,Doctor,
1748.69,486.08,17.0,-43425913.0,1,3,Engineer,Student,
1000.46,336.39,16.0,-56819779.0,1,3,Engineer,Student,
6810.05,997.43,16.0,-30038466.0,1,0,Engineer,Doctor,
263.97999999999956,234.57,16.0,-37123179.0,1,3,Engineer,Student,
5442.76,6.0,18.0,-32621488.0,1,0,Engineer,Doctor,
2037.85,1049.92,16.0,-32628001.0,1,2,Engineer,Retired,
341.9399999999996,227.14,17.0,-42301766.0,1,3,Engineer,Student,
1066.5900000000001,233.74,16.0,-32542217.0,0,2,Doctor,Retired,
6077.96,113.02,16.0,-35046779.0,0,2,Doctor,Retired,
1659.15,45.849999999999994,17.0,-54137414.0,1,3,Engineer,Student,
2042.2200000000003,973.3899999999999,17.0,-37291704.0,1,2,Engineer,Retired,
421.9300000000003,514.95,18.0,-49296733.0,1,0,Engineer,Doctor,
10113.66,415.5,16.0,-40146060.0,1,0,Engineer,Doctor,
4446.17,265.76,17.0,-55002203.0,1,2,Engineer,Retired,
6452.77,69.4,18.0,-40485621.0,1,2,Engineer,Retired,
2788.2,332.93,16.0,-30209906.0,0,1,Doctor,Engineer,
596.1599999999999,267.9,16.0,-33837347.0,1,3,Engineer,Student,
12904.66,496.03,16.0,-31677829.0,1,0,Engineer,Doctor,
9062.4,376.26,16.0,-54228527.0,1,1,Engineer,Engineer,
9009.56,83.01999999999998,17.0,-36857470.0,0,1,Doctor,Engineer,
1152.1999999999998,93.25999999999999,16.0,-40232952.0,0,3,Doctor,Student,
12168.37,803.37,16.0,-48960006.0,0,0,Doctor,Doctor,
611.8599999999997,35.75999999999999,17.0,-35562802.0,1,3,Engineer,Student,
8670.53,28.53,16.0,-45156531.0,1,0,Engineer,Doctor,
10098.86,139.53,17.0,-33835642.0,0,0,Doctor,Doctor,
5307.74,307.57,16.0,-57426872.0,1,0,Engineer,Doctor,
1047.2799999999997,60.650000000000006,18.0,-45582854.0,0,2,Doctor,Retired,
6921.48,74.86000000000001,17.0,-38672662.0,1,0,Engineer,Doctor,
1475.46,117.97,18.0,-29855869.0,1,2,Engineer,Retired,
112.76000000000022,231.91,18.0,-55518053.0,1,1,Engineer,Engineer,
5669.66,126.21000000000001,16.0,-54316901.0,1,2,Engineer,Retired,
1309.9500000000003,506.28,17.0,-47660740.0,0,2,Doctor,Retired,
4057.1,304.35,17.0,-28998071.0,1,1,Engineer,Engineer,
1585.98,281.85,17.0,-46449661.0,1,3,Engineer,Student,
6825.55,777.88,16.0,-51376263.0,1,1,Engineer,Engineer,
5516.5,119.18,18.0,-37721156.0,1,2,Engineer,Retired,
5343.3,177.19,17.0,-46536062.0,1,2,Engineer,Retired,
903.0500000000002,260.88,16.0,-45328602.0,1,3,Engineer,Student,
1806.1599999999999,169.47,16.0,-51206243.0,1,3,Engineer,Student,
787.7399999999993,73.23000000000002,16.0,-46192699.0,1,3,Engineer,Student,
2429.68,1362.5499999999997,18.0,-54655438.0,1,1,Engineer,Engineer,
770.3699999999999,792.57,16.0,-45935283.0,1,3,Engineer,Student,
1182.7699999999995,237.06,16.0,-27789633.0,1,2,Engineer,Retired,
726.5499999999997,34.16999999999999,16.0,-30121726.0,0,1,Doctor,Engineer,
14464.3,740.25,17.0,-40921469.0,1,0,Engineer,Doctor,
12046.3,453.54,16.0,-48785763.0,1,0,Engineer,Doctor,
7885.64,300.47,16.0,-30815768.0,1,2,Engineer,Retired,
1952.35,110.93,16.0,-49822358.0,0,3,Doctor,Student,
7328.52,201.69,16.0,-57943420.0,1,0,Engineer,Doctor,
3210.39,399.21,16.0,-55612352.0,1,1,Engineer,Engineer,
5726.2,1041.88,16.0,-36688962.0,1,2,Engineer,Retired,
1363.6499999999996,630.3600000000001,16.0,-52934422.0,1,2,Engineer,Retired,
1241.9899999999998,10.939999999999998,17.0,-32626066.0,0,1,Doctor,Engineer,
7873.28,215.9,16.0,-57859694.0,1,0,Engineer,Doctor,
5674.32,1422.5499999999997,17.0,-41696252.0,1,2,Engineer,Retired,
9840.04,226.37,17.0,-35650968.0,0,0,Doctor,Doctor,
10328.23,444.89,16.0,-36258251.0,0,0,Doctor,Doctor,
293.2399999999998,280.57,17.0,-55866919.0,0,3,Doctor,Student,
7486.63,488.54,17.0,-42301177.0,1,1,Engineer,Engineer,
11385.37,3.3000000000000114,16.0,-50772475.0,0,0,Doctor,Doctor,
7264.79,199.39,16.0,-38073164.0,1,2,Engineer,Retired,
2762.4799999999996,20.360000000000014,17.0,-40489737.0,1,2,Engineer,Retired,
6675.03,113.63999999999999,17.0,-32540294.0,1,2,Engineer,Retired,
7432.99,493.11,16.0,-39886955.0,1,2,Engineer,Retired,
1057.0,307.41,17.0,-44116616.0,1,3,Engineer,Student,
5956.89,11.180000000000007,16.0,-29344658.0,1,0,Engineer,Doctor,
7261.59,313.82,18.0,-30633064.0,1,1,Engineer,Engineer,
4943.16,51.0,16.0,-55613265.0,1,2,Engineer,Retired,
8127.48,140.98,16.0,-45675471.0,1,1,Engineer,Engineer,
1748.02,288.04,16.0,-37812159.0,1,2,Engineer,Retired,
9660.22,800.55,16.0,-47490318.0,1,1,Engineer,Engineer,
6371.51,485.54,17.0,-55002287.0,1,1,Engineer,Engineer,
9442.47,521.15,18.0,-54049886.0,1,0,Engineer,Doctor,
5959.2,321.79,17.0,-39278368.0,0,2,Doctor,Retired,
13531.22,304.93,16.0,-53451893.0,1,0,Engineer,Doctor,
11500.62,432.08000000000004,16.0,-39888411.0,1,0,Engineer,Doctor,
1389.37,694.2,16.0,-28741635.0,1,2,Engineer,Retired,
6706.56,116.86,18.0,-51371007.0,1,1,Engineer,Engineer,
7175.29,386.81,18.0,-52841278.0,0,0,Doctor,Doctor,
420.6700000000001,74.88,16.0,-45762116.0,1,3,Engineer,Student,
7323.53,195.76,16.0,-45935549.0,1,2,Engineer,Retired,
8395.85,134.7,16.0,-38074069.0,1,0,Engineer,Doctor,
5140.93,890.24,18.0,-41954629.0,0,1,Doctor,Engineer,
7945.57,361.27,17.0,-57683294.0,1,0,Engineer,Doctor,
5873.54,131.56,16.0,-32973875.0,1,0,Engineer,Doctor,
3074.45,485.51,16.0,-29517515.0,0,2,Doctor,Retired,
6155.76,547.87,17.0,-41698504.0,1,2,Engineer,Retired,
8318.29,457.29999999999995,18.0,-42903752.0,1,1,Engineer,Engineer,
230.09000000000015,506.24,16.0,-57079634.0,1,1,Engineer,Engineer,
2513.56,486.59,16.0,-27702885.0,1,2,Engineer,Retired,
10090.05,163.68,16.0,-34789804.0,1,0,Engineer,Doctor,
480.1899999999996,581.6499999999999,16.0,-57424481.0,1,3,Engineer,Student,
1120.8799999999997,52.00999999999999,16.0,-31332323.0,1,0,Engineer,Doctor,
370.8100000000004,630.24,18.0,-29426482.0,1,3,Engineer,Student,
13498.55,523.74,16.0,-31764615.0,1,0,Engineer,Doctor,
14804.7,705.6,18.0,-53789241.0,1,0,Engineer,Doctor,
3057.4000000000005,217.5,18.0,-32620330.0,0,1,Doctor,Engineer,
14942.78,91.47999999999999,16.0,-56215126.0,1,0,Engineer,Doctor,
14143.32,5.25,18.0,-30807958.0,1,0,Engineer,Doctor,
6736.3,54.03,17.0,-35563850.0,0,2,Doctor,Retired,
3313.07,736.73,16.0,-29606727.0,1,1,Engineer,Engineer,
829.71,368.91,17.0,-52237231.0,1,0,Engineer,Doctor,
1540.87,33.06,16.0,-56736182.0,0,2,Doctor,Retired,
6820.23,66.5,16.0,-47488990.0,0,1,Doctor,Engineer,
13475.14,177.08,17.0,-57682537.0,1,0,Engineer,Doctor,
714.4500000000003,588.54,17.0,-55001589.0,1,1,Engineer,Engineer,
1306.9099999999994,173.5,17.0,-32626532.0,1,3,Engineer,Student,
7255.33,78.32999999999998,16.0,-39887706.0,0,1,Doctor,Engineer,
1153.8400000000006,40.66,16.0,-26582559.0,1,2,Engineer,Retired,
6647.73,97.22000000000001,17.0,-53793658.0,0,2,Doctor,Retired,
8709.77,34.06999999999999,17.0,-31416263.0,1,3,Engineer,Student,
857.9000000000001,492.06,16.0,-32975741.0,1,3,Engineer,Student,
509.4499999999998,842.01,16.0,-36170706.0,0,0,Doctor,Doctor,
2812.0600000000004,73.55000000000001,16.0,-57427293.0,1,1,Engineer,Engineer,
6179.91,760.53,18.0,-36856570.0,1,1,Engineer,Engineer,
6609.3,273.08,16.0,-55612729.0,0,1,Doctor,Engineer,
3484.32,371.69,16.0,-27445330.0,1,2,Engineer,Retired,
754.21,218.96,16.0,-37295928.0,1,3,Engineer,Student,
751.0900000000006,227.39,16.0,-27184397.0,1,3,Engineer,Student,
8510.09,237.99,16.0,-47143585.0,0,0,Doctor,Doctor,
1508.7199999999998,186.6,16.0,-42219541.0,1,0,Engineer,Doctor,
511.3699999999999,341.15,17.0,-54399114.0,1,3,Engineer,Student,
12648.32,434.58,16.0,-36689977.0,1,0,Engineer,Doctor,
233.21000000000004,312.88,18.0,-45582873.0,0,1,Doctor,Engineer,
1092.9199999999996,75.15,17.0,-35649577.0,1,3,Engineer,Student,
6711.15,23.30000000000001,18.0,-38670868.0,1,1,Engineer,Engineer,
459.3699999999999,47.379999999999995,18.0,-54827338.0,0,3,Doctor,Student,
6994.34,512.81,16.0,-40922097.0,1,2,Engineer,Retired,
7071.09,488.15,16.0,-39888613.0,1,1,Engineer,Engineer,
9045.19,12.819999999999993,18.0,-49987875.0,1,1,Engineer,Engineer,
5238.71,66.9,16.0,-48957594.0,0,2,Doctor,Retired,
9642.12,535.91,16.0,-41959957.0,1,1,Engineer,Engineer,
6263.96,270.72,18.0,-42300605.0,0,1,Doctor,Engineer,
7460.33,97.98,16.0,-55007935.0,1,2,Engineer,Retired,
4233.82,196.08,16.0,-37725243.0,1,2,Engineer,Retired,
8303.9,251.18,16.0,-45069404.0,1,1,Engineer,Engineer,
314.27999999999975,44.51999999999998,18.0,-50679603.0,1,3,Engineer,Student,
5241.23,178.87,16.0,-45849982.0,1,0,Engineer,Doctor,
323.6899999999996,1176.2799999999997,16.0,-27619422.0,0,1,Doctor,Engineer,
6863.06,386.68,16.0,-31936707.0,1,0,Engineer,Doctor,
3877.73,167.14,18.0,-48346377.0,1,2,Engineer,Retired,
4046.58,345.22,16.0,-36774709.0,1,2,Engineer,Retired,
2409.73,74.85,17.0,-27183161.0,1,2,Engineer,Retired,
5211.88,671.73,16.0,-33234970.0,1,1,Engineer,Engineer,
6217.86,255.04,16.0,-29951739.0,1,1,Engineer,Engineer,
5978.12,45.77000000000001,17.0,-54742658.0,1,3,Engineer,Student,
1671.6599999999999,329.69,16.0,-57424519.0,0,3,Doctor,Student,
8421.88,362.04,16.0,-41700696.0,0,0,Doctor,Doctor,
14611.9,11.919999999999987,17.0,-33834147.0,1,0,Engineer,Doctor,
8253.52,47.420000000000016,16.0,-27703368.0,1,0,Engineer,Doctor,
4489.79,35.99000000000001,16.0,-56562905.0,1,2,Engineer,Retired,
11903.82,151.19,16.0,-47405200.0,0,0,Doctor,Doctor,
483.02000000000044,242.62,16.0,-41700414.0,0,3,Doctor,Student,
816.0799999999995,48.72,18.0,-34693979.0,1,3,Engineer,Student,
578.0599999999995,43.460000000000036,17.0,-40748883.0,1,3,Engineer,Student,
477.3000000000002,1036.21,18.0,-40742288.0,1,3,Engineer,Student,
3133.85,443.78999999999996,18.0,-33831792.0,1,2,Engineer,Retired,
5894.09,365.14,18.0,-29251257.0,1,2,Engineer,Retired,
9532.42,757.41,16.0,-47403430.0,1,3,Engineer,Student,
5327.03,20.539999999999992,18.0,-38066284.0,1,1,Engineer,Engineer,
2000.6,475.36,16.0,-34445030.0,1,1,Engineer,Engineer,
6827.57,34.73999999999998,16.0,-42910242.0,1,2,Engineer,Retired,
1633.7600000000002,689.54,16.0,-52586516.0,1,3,Engineer,Student,
4069.17,211.18,16.0,-33235323.0,1,2,Engineer,Retired,
7943.47,211.36,16.0,-30124049.0,0,1,Doctor,Engineer,
8842.47,744.41,16.0,-39886528.0,0,1,Doctor,Engineer,
1882.77,61.43000000000001,16.0,-42652301.0,1,3,Engineer,Student,
12526.71,167.44,16.0,-35049571.0,1,0,Engineer,Doctor,
4737.84,361.46,17.0,-49819657.0,1,3,Engineer,Student,
2300.53,378.85,17.0,-43771672.0,1,2,Engineer,Retired,
12385.05,241.11,16.0,-43774166.0,1,0,Engineer,Doctor,
4547.06,131.93,17.0,-36254140.0,0,1,Doctor,Engineer,
2047.83,20.28,17.0,-40919244.0,1,1,Engineer,Engineer,
10008.33,415.88,17.0,-48091065.0,1,0,Engineer,Doctor,
2299.64,49.99000000000001,17.0,-54742456.0,1,2,Engineer,Retired,
243.92000000000007,1221.65,16.0,-34874106.0,1,3,Engineer,Student,
14473.33,100.66000000000001,18.0,-43765984.0,1,0,Engineer,Doctor,
1533.3199999999997,485.54,16.0,-28653801.0,1,3,Engineer,Student,
7005.05,321.15,17.0,-54658793.0,1,0,Engineer,Doctor,
955.4000000000001,711.3,18.0,-42901915.0,1,3,Engineer,Student,
7844.88,12.22999999999999,16.0,-33581116.0,1,1,Engineer,Engineer,
221.5600000000004,350.94,17.0,-32021564.0,1,3,Engineer,Student,
6586.19,301.85,17.0,-48867975.0,1,1,Engineer,Engineer,
3944.82,29.340000000000003,17.0,-52324474.0,1,2,Engineer,Retired,
1127.98,231.71,17.0,-48351954.0,1,3,Engineer,Student,
2626.63,179.43,18.0,-38929752.0,1,2,Engineer,Retired,
6459.38,36.71000000000001,17.0,-55609191.0,1,0,Engineer,Doctor,
1649.69,138.12,17.0,-49474353.0,0,0,Doctor,Doctor,
6939.23,233.24,16.0,-48957093.0,1,1,Engineer,Engineer,
9033.87,609.14,16.0,-29952114.0,1,1,Engineer,Engineer,
14365.18,436.64,17.0,-27181319.0,1,0,Engineer,Doctor,
10115.18,870.43,16.0,-45155612.0,1,0,Engineer,Doctor,
7358.65,354.4,17.0,-31416412.0,1,2,Engineer,Retired,
4438.03,22.629999999999995,17.0,-53793761.0,1,1,Engineer,Engineer,
1176.1,182.19,16.0,-43515002.0,1,3,Engineer,Student,
5427.98,126.81,16.0,-32022861.0,1,1,Engineer,Engineer,
3653.11,288.17,16.0,-36516085.0,1,1,Engineer,Engineer,
2104.82,118.77000000000001,17.0,-34439184.0,1,1,Engineer,Engineer,
1802.77,651.82,17.0,-49212439.0,1,3,Engineer,Student,
3559.96,66.65,16.0,-33145921.0,1,1,Engineer,Engineer,
3564.8,98.53,16.0,-56821171.0,1,2,Engineer,Retired,
6752.92,138.95,16.0,-44983194.0,1,2,Engineer,Retired,
1444.75,33.889999999999986,16.0,-31075262.0,1,3,Engineer,Student,
10788.89,23.710000000000008,16.0,-35654664.0,1,0,Engineer,Doctor,
2235.7,1830.0,16.0,-53019601.0,1,1,Engineer,Engineer,
12893.63,26.060000000000002,17.0,-27529836.0,1,0,Engineer,Doctor,
2798.1500000000005,17.069999999999993,17.0,-47746453.0,1,1,Engineer,Engineer,
3583.67,703.8899999999999,16.0,-35306669.0,1,1,Engineer,Engineer,
2120.8,1271.9,16.0,-37466772.0,1,1,Engineer,Engineer,
3085.38,26.55000000000001,17.0,-35476917.0,1,2,Engineer,Retired,
6797.71,147.4,16.0,-44380587.0,1,1,Engineer,Engineer,
746.4700000000007,202.11,16.0,-50515235.0,1,3,Engineer,Student,
5427.81,308.42,16.0,-47663532.0,1,2,Engineer,Retired,
7467.3,11.180000000000007,16.0,-53191889.0,1,1,Engineer,Engineer,
6362.16,294.15,16.0,-55352869.0,1,1,Engineer,Engineer,
8345.26,29.579999999999956,17.0,-32019402.0,1,1,Engineer,Engineer,
1305.7600000000002,139.45,16.0,-41700423.0,1,3,Engineer,Student,
13648.36,432.63,17.0,-42562786.0,1,0,Engineer,Doctor,
1337.5000000000005,131.43,18.0,-55430692.0,1,0,Engineer,Doctor,
2015.69,516.72,18.0,-33830911.0,1,1,Engineer,Engineer,
8354.54,121.82,17.0,-54917263.0,1,0,Engineer,Doctor,
1671.5100000000002,374.5,16.0,-40490586.0,0,3,Doctor,Student,
11822.53,166.13,17.0,-36688218.0,1,0,Engineer,Doctor,
587.1099999999997,626.9,16.0,-33751761.0,1,3,Engineer,Student,
5422.53,466.85,16.0,-41094741.0,1,2,Engineer,Retired,
1913.73,788.84,17.0,-46364948.0,1,2,Engineer,Retired,
12139.829999999998,873.65,16.0,-51118277.0,0,0,Doctor,Doctor,
4693.6,525.28,16.0,-50167935.0,1,2,Engineer,Retired,
464.1999999999998,110.17,16.0,-36605039.0,1,1,Engineer,Engineer,
4363.74,632.69,16.0,-36171648.0,1,2,Engineer,Retired,
3319.76,124.35000000000001,16.0,-28654340.0,1,2,Engineer,Retired,
4356.98,43.849999999999994,16.0,-51982904.0,1,2,Engineer,Retired,
1519.3499999999995,283.81,16.0,-52328332.0,1,3,Engineer,Student,
5962.58,168.53,16.0,-43947687.0,1,2,Engineer,Retired,
6699.23,218.59,16.0,-29604224.0,0,1,Doctor,Engineer,
822.7299999999996,132.84,16.0,-38072423.0,1,3,Engineer,Student,
13964.31,157.37,16.0,-30640546.0,0,0,Doctor,Doctor,
867.3200000000002,144.77,16.0,-41095351.0,1,3,Engineer,Student,
1035.8599999999992,643.22,17.0,-47574194.0,1,0,Engineer,Doctor,
13347.69,1392.54,16.0,-30208681.0,1,0,Engineer,Doctor,
8478.9,208.07,16.0,-41700031.0,1,0,Engineer,Doctor,
11088.95,94.3,17.0,-27180858.0,1,0,Engineer,Doctor,
6280.66,295.5,18.0,-29945228.0,1,2,Engineer,Retired,
481.1300000000001,30.22999999999999,17.0,-31414721.0,1,0,Engineer,Doctor,
1122.8800000000006,112.05,16.0,-32370739.0,0,3,Doctor,Student,
8431.23,180.24,17.0,-42303929.0,1,1,Engineer,Engineer,
